"id,","name,","age,","company,","position,","lAbschluss,","fach,","unilA,","verein1,","verein2,","preis,",nationalität 
"ReJuBr,",RenataJungoBrüngger,1961,"Mercedes,","Vorstandsmitglied,",Master,internationalen Handelsrecht mit den Schwerpunkten Immaterialgüterrecht sowie Technologie- und Informationsrecht,Uni Zürich,,,,Schweiz
SaKo,SabineKohleisen,1964,"Mercedes,","Vorstandsmitglied,",Diplom-Kauffrau,"Unternehmensführung, Marketing und Unternehmens- und Gesellschaftsrecht",Universität Erlangen-Nürnberg,,,,Deutschland
BrSe,BrittaSeeger,1969,"Mercedes,","Vorstandsmitglied,",Diplom Betriebswirtin BA,Betriebswirtschaft ,Berufsakademie in Stuttgart,,,Eurostars 2017,Deutschland
SaBa,SariBaldauf ,1955,"Mercedes,","Aufsichtsrat,",Master,Business Administration,Helsinki School of Economics and Business Administration,,,,Finnisch
NaBo,NadineBoguslawski,1977,"Mercedes,","Aufsichtsrat,",Ausbildung,REFA-Technikerin für Industrial Engineering,,Industriegewerkschaft Metall,,,Deutschland
LiCe,LizCentoni,1964,"Mercedes,","Aufsichtsrat,",Master,Chemie,Universität San Francisco,Women in Science and Engineering,Women in Engineering Leadership Forum at Cisco,YWCA 2015 TWIN Awards,Indien
DaVeAnCo,DameVeronicaAnneCourtice,1952,"Mercedes,","Aufsichtsrat,",Master,Geschichte,Universität Cambridge,,,2015 Stanford Bright Award for Environmental Sustainability,Südafrika
HeSv,HeleneSvahn,1974,"Mercedes,","Aufsichtsrat,",Master,Molekularer Biotechnologie,Universität Uppsala,Royal Swedish Academy of Sciences,Royal Swedish Academy of Engineering Sciences,TR100,Schweden
ElToWe,ElkeTönjes-Werner,1963,"Mercedes,","Aufsichtsrat,",Ausbildung,Näherei/Polsterei,,,,,Deutschland
